garantiUcitIdno,katedra,zkratka,prednasejiciUcitIdno,jednotekPrednasek
304,KFY,K215,5958,2
283,KBI,K301,3661,10
283,KBI,K301,3661,10
5471,KBI,P526,280,2
1434,KPRF,0101,,2
264,KMA,K213,"9489,5205",4
263,KFY,K304,1537,8
263,KFY,K304,1537,8
1644,KGEO,M107,5457,2
308,KFY,VFT,8739,2
1434,KGEO,PD104,1644,18
1434,KGEO,PD104,1644,18
3553,CNB,PTVN,4587,1
4222,KGEO,0159,,1
1543,KCH,P402,,2
8512,KBI,BK333,930,8
1434,KGEO,PD105,"312,3452",18
1434,KGEO,PD105,"312,3452",18
2227,KCH,K101,3176,4
8512,KBI,BP333,930,2
650,KI,OOD,,1
2939,KBI,0023,,2
930,KBI,K607,,4
1983,KBI,P201,,3
312,KGEO,B406,7684,1
615,KFY,M303,79,2
283,KBI,P301,3661,2
283,KBI,P301,3661,2
2776,KI,KVICT,,4
4222,KGEO,B414,,2
930,KBI,K201,,8
1064,KCH,NA02,429,2
1983,KBI,BK201,,6
1064,KCH,N407,429,2
930,KBI,P609,,2
69,KFY,PM,"1803,304,3222,3521",2
69,KFY,PM,"1803,304,3222,3521",2
4680,KFY,MECH,613,3
308,KFY,M302,4680,3
930,KBI,P618,,3
1983,KBI,BP201,,3
1503,CNB,ME204,,6
2384,KFY,K620,308,12
305,KFY,K319,"3222,615",12
930,KBI,P210,,3
279,KBI,P202,,2
2776,KI,BTE,,1
550,KFY,INSAN,332,2
1064,KCH,M104,,2
280,KBI,P615,8512,3
650,KI,KOOD,,2
267,KMA,K214,"261,3188",2
8987,KMA,KMA3,8438,8
4680,KFY,KMECH,613,12
179,KCH,P312,"5131,2527",2
261,KMA,KDM1,425,4
